AUDIT,External Audit,7000,Interpharmex FZC,01/04/2020
AUDIT,External Audit,6000,Interbrands Trading FZC,01/04/2020
CID,Liquidation,2500,Helipsule Technologies - FZCO,29/03/2020
AUDIT,External Audit,9000,Advania consult DWC- LLC,29/03/2020
TAX,Registration,1000,Mice Levoyage Travel & Tourism LLC,28/03/2020
AUDIT,External Audit,3500,HJS consultancy DMCC,26/03/2020
IA,CbCR (Country by Country Reporting),3500,JBF RAK LLC,25/03/2020
AUDIT,External Audit,9000,Vitkovice FZE,23/03/2020
TAX,Return filing,1000,Sanda Investment Holdings Limited,22/03/2020
CID,Incorporation,3000,PingIT Prosolutions LLC,22/03/2020
CID,Liquidation,4000,Al Swayeh General Trading,22/03/2020
TAX,De-registration,750,Sparteq Industries FZE,19/03/2020
DD/VAL,Valuation,12000,Technology Consultants Limited,18/03/2020
AUDIT,External Audit,10000,CINQ technical Services Co LLC,17/03/2020
TAX,Registration,1500,Al Seer Marine Training Institute LLC,17/03/2020
AUDIT,External Audit,22000,International Trading Circle LLC,17/03/2020
TAX,Return filing,1500,ULTICA Manufacturer FZE,16/03/2020
CID,Incorporation,5000,Ouiba DMCC,16/03/2020
CID,Amendments,5000,Mr. Parag,16/03/2020
AUDIT,External Audit,13000,Aeras DWC LLC,16/03/2020
TAX,Registration,750,Al Mufeed Kitchen Industries LLC,15/03/2020
AUDIT,External Audit,8000,Royal Falcon Security LLC,15/03/2020
ACCOUNTS,Accounts Updation,6000,CGG Services SAS (Abu Dhabi),15/03/2020
External Audit,16000,,,
AUDIT,External Audit,7500,Hortontech Interiors LLC,14/03/2020
TAX,Compliance/ Advisory,6000,Ted Information Systems LLC,12/03/2020
External Audit,3500,,,
AUDIT,External Audit,4000,Energy Solutions International Consulting DMCC,12/03/2020
AUDIT,External Audit,9000,Afak Industries FZE,12/03/2020
AUDIT,External Audit,5000,Al Saqr Al Zahabi Tourism,12/03/2020
AUDIT,External Audit,5000,Al Saqr Al Masy Car Rental,12/03/2020
AUDIT,External Audit,8000,Arcadia Middle East L.L.C,12/03/2020
DD/VAL,Due Diligence,20000,Mr. Parag,12/03/2020
AUDIT,External Audit,7500,Land Sterling Property Consultants LLC,11/03/2020
AUDIT,External Audit,5000,Al fazance Consulting DMCC,11/03/2020
AUDIT,External Audit,6500,Emirates Dates LLC,11/03/2020
AUDIT,Agreed upon procedure,2200,WORKSPACE INTERIORS LLC,09/03/2020
AUDIT,External Audit,5000,EUROMENA CONSULTING - FZE,09/03/2020
AUDIT,External Audit,7000,Al - Bahar Technical Product Trading FZC,09/03/2020
AUDIT,External Audit,10000,Beta Nu Kappa Capital Limited,08/03/2020
